id,question,answer,seed,master_seed,subject,subject_area,time_open,gold_reason,gold_reason_source,remarks
1,Does the use of argon gas in GTAW welding protect welds from oxidation or other atmospheric contamination?,A,Electrode,Electroanalytical Chemistry,chemistry,,NA,"When metals are heated during the welding process, they become highly susceptible to oxidation, which can compromise the quality and integrity of the weld. Argon’s inertness ensures that the weld area remains free from these contaminants, thus maintaining the purity of the weld metal.","[https://www.uti.edu/blog/welding/argon-welding, https://tikweld.com/blog/argon-gas-welding-creating-strong-and-durable-welds/]",
2,Can molecular bow shocks be observed in ro-vibrational emission from cold molecular hydrogen?,B,Astrophysical Jets,Astrophysical Jets,astronomy,,NA,"Ro-vibrational emission from molecular hydrogen, such as the 2.12 μm v=1-0 S(1) line, is only produced when the gas is shock-heated to temperatures of several thousand Kelvin. Cold molecular hydrogen at typical interstellar temperatures of tens of Kelvin does not emit significantly in these lines. Molecular bow shocks form at the apex of stellar jets as they plow into the surrounding medium. The jet material itself is already shock-heated to high temperatures. However, the ambient cold molecular gas through which the bow shock propagates does not contribute to the ro-vibrational emission.","[https://www.aanda.org/articles/aa/pdf/2010/05/aa12977-09.pdf, https://academic.oup.com/mnras/article/341/1/70/999769?login=true]",
3,Can the rate constant of a reaction increase with increasing temperature and then decrease at very high temperatures?,A,chemistry,chemistry,chemistry,,NA,"As temperature increases, the rate constant increases exponentially due to the dominant effect of the exponential term in the Arrhenius equation. The activation energy barrier is more easily overcome, allowing more collisions to result in successful reactions. At very high temperatures, the rate constant may start to decrease. This is because the frequency factor (A) in the Arrehenius equation can decrease at high temperatures due to bond dissociation or other factors.","[https://app.jove.com/science-education/v/11174/concepts/temperature-dependence, https://chem.libretexts.org/Bookshelves/General_Chemistry/Map:_General_Chemistry_%28Petrucci_et_al.%29/14:_Chemical_Kinetics/14.09:_The_Effect_of_Temperature_on_Reaction_Rates]",
4,Does the Albertson conjecture hold?,C,graph_drawing_and_embedding,graph_drawing_and_embedding,mathematics,,08/2023,"The Albertson conjecture, proposed by Michael O. Albertson in 2007, remains an open problem in combinatorial mathematics. It posits a relationship between the chromatic number and the crossing number of a graph. Specifically, it asserts that for any graph G with chromatic number r, the crossing number of G is at least as large as that of the complete graph Kr​ (denoted as cr(G)≥cr(Kr​)).","[https://ar5iv.labs.arxiv.org/html/0909.0413, https://en.wikipedia.org/wiki/Albertson_conjecture]",
5,Does the presence of organic or reactive compounds increase the rate of decomposition of hydrogen peroxide?,A,Hydrogenation,Heterogeneous Catalysis,chemistry,,NA,"Organic compounds often contain functional groups that can interact with hydrogen peroxide, facilitating its breakdown. For instance, compounds with double bonds or other reactive sites can undergo oxidation reactions with H₂O₂, leading to the formation of free radicals. These free radicals can further promote the decomposition of hydrogen peroxide into water and oxygen. : Organic materials can provide increased surface area for reactions to occur, especially in heterogeneous systems. This increased contact can enhance the rate at which hydrogen peroxide decomposes, as more molecules are available to react.","[https://www.chemicals.co.uk/blog/decomposition-of-hydrogen-peroxide, https://www.proakademia.eu/gfx/baza_wiedzy/461/nr_26_45-52_2_2.pdf]",
6,What is the asymptotic growth rate of wasted space for square packing in a half-integer square?,C,covering_and_packing,covering_and_packing,mathematics,,08/2024,"The precise asymptotic growth rate of the wasted space, even for half-integer side lengths, remains an open problem.","[https://www.infona.pl/resource/bwmeta1.element.springer-a083b343-494a-35df-bbdb-fdb23dee3eca, https://en.wikipedia.org/wiki/Square_packing#cite_note-Brass2005-1]",
7,Is a zero ring a division ring?,B,Commutative ring,Abstract Algebra,mathematics,,,"A division ring must contain non-zero elements that can be inverted. The zero ring has no non-zero elements; it only contains the element 0. Thus, it cannot satisfy the requirement of having non-zero elements with inverses.","[https://en.wikipedia.org/?title=Zero_ring, https://en.wikipedia.org/wiki/Division_ring]",
8,What are the shortest opaque sets for the unit square and unit circle?,C,discrete_geometry,discrete_geometry,mathematics,,09/2023,"For a unit square, opaque forest is known, with length 2.639. It consists of the minimum Steiner tree of three of the square's vertices, together with a line segment connecting the fourth vertex to the center. Ross Honsberger credits its discovery to Maurice Poirier, a Canadian schoolteacher, but it was already described in 1962 and 1964 by Jones. It is known to be optimal among forests with only two components, and has been conjectured to be the best possible more generally, but this remains unproven. The case of the unit circle was described in a 1995 Scientific American column by Ian Stewart, with a solution of length {\displaystyle 2+\pi }, optimal for a single curve or connected barrier but not for an opaque forest with multiple curves. The unknown length of the optimal solution has been called the beam detection constant.",[https://en.wikipedia.org/wiki/Opaque_set],
9,Can QFT be used to construct physical models of quasiparticles?,A,Non-abelian gauge transformation,Non-Abelian Gauge Theories,physics,,NA,"QFT provides a robust framework for describing the interactions and dynamics of particles and fields at a quantum level. It combines principles from quantum mechanics and special relativity, allowing for the creation and annihilation of particles, which is essential for modeling quasiparticles that emerge from interactions within a medium.",[https://en.wikipedia.org/wiki/Quantum_field_theory],
10,Can the adsorption process of crystal growth occur in the absence of a stable nucleus?,B,Boule (crystal),Crystal Engineering,chemistry,,NA,"Once stable nuclei are formed, the adsorption process can take place. Adsorption refers to the attachment of additional molecules from the surrounding medium onto the surface of these nuclei. This step is essential for the growth of the crystal, as it allows for the accumulation of more molecules, which then integrate into the crystal lattice, leading to the formation of larger crystals. Without stable nuclei, the entire process of crystal growth is impeded. There would be no surfaces available for molecules to adhere to, effectively preventing the adsorption process from occurring. The absence of nuclei means that the system remains in a state where no significant growth can take place.","[https://www.mdpi.com/2227-9717/12/4/774, https://eps.mcgill.ca/~courses/c644/Biomineralization%20%282011%29/Growth_Apatite_Calcite/Principles%20Of%20Nucleation%20And%20Growth.pdf]",
